Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Credit Score,Has Credit Card,Is Active Member,Age,Total_Income,EMI,Loan_Income_Percentage,Predicted,Ethical_Audit_Flag
LP002768,Male,No,0,Not Graduate,No,3358,0.0,80.0,36.0,1.0,Semiurban,0,619,1,1,35,3358.0,2222.222222222222,0.661769571835087,0,Compliant
LP002926,Male,Yes,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,0,445,1,1,50,2726.0,294.44444444444446,0.10801336920192386,0,Compliant
LP001977,Male,Yes,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,1,505,0,0,55,3428.0,266.6666666666667,0.07779074290159471,1,Compliant
LP001578,Male,Yes,0,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,1,572,0,0,20,5772.0,358.3333333333333,0.062081312081312075,1,Compliant
LP001888,Female,No,0,Graduate,No,3237,0.0,30.0,360.0,1.0,Urban,1,380,0,0,35,3237.0,83.33333333333333,0.025744001647616106,1,Compliant
LP002449,Male,Yes,0,Graduate,No,2483,2466.0,90.0,180.0,0.0,Rural,1,793,0,1,34,4949.0,500.0,0.10103051121438675,1,Compliant
LP002284,Male,No,0,Not Graduate,No,3902,1666.0,109.0,360.0,1.0,Rural,1,625,0,0,62,5568.0,302.77777777777777,0.05437819284802043,1,Compliant
LP001097,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,0,528,0,0,63,4692.0,294.44444444444446,0.0627545704272047,1,Compliant
LP002659,Male,Yes,3+,Graduate,No,3466,3428.0,150.0,360.0,1.0,Rural,1,421,0,1,43,6894.0,416.6666666666667,0.06043902910743642,1,Compliant
LP001370,Male,No,0,Not Graduate,,7333,0.0,120.0,360.0,1.0,Rural,0,314,1,0,44,7333.0,333.3333333333333,0.04545661166416655,1,Compliant
LP001977,Male,Yes,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,1,636,1,1,47,3428.0,266.6666666666667,0.07779074290159471,1,Compliant
LP002740,Male,Yes,3+,Graduate,No,6417,0.0,157.0,180.0,1.0,Rural,1,478,1,0,33,6417.0,872.2222222222222,0.1359236749606081,1,Compliant
LP002544,Male,Yes,1,Not Graduate,No,1958,2436.0,131.0,360.0,1.0,Rural,1,429,0,1,30,4394.0,363.8888888888889,0.08281494967885501,1,Compliant
LP002348,Male,Yes,0,Graduate,No,5829,0.0,138.0,360.0,1.0,Rural,1,413,0,1,34,5829.0,383.3333333333333,0.06576313833133185,1,Compliant
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,0,613,0,1,58,4734.0,258.3333333333333,0.05456977890437966,0,Compliant
LP002265,Male,Yes,2,Not Graduate,No,1993,1625.0,113.0,180.0,1.0,Semiurban,1,442,0,1,41,3618.0,627.7777777777778,0.1735151403476445,1,Compliant
LP002582,Female,No,0,Not Graduate,Yes,17263,0.0,225.0,360.0,1.0,Semiurban,1,502,0,0,63,17263.0,625.0,0.03620459943231188,1,Compliant
LP002637,Male,No,0,Not Graduate,No,3598,1287.0,100.0,360.0,1.0,Rural,0,383,1,0,41,4885.0,277.77777777777777,0.05686341407938132,1,Compliant
LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,1,414,1,1,25,7551.0,738.8888888888889,0.09785311732073751,1,Compliant
LP001846,Female,No,3+,Graduate,No,3083,0.0,255.0,360.0,1.0,Rural,1,371,0,0,56,3083.0,708.3333333333334,0.22975456806141206,1,Compliant
LP002720,Male,Yes,3+,Graduate,No,4281,0.0,100.0,360.0,1.0,Urban,1,483,1,1,64,4281.0,277.77777777777777,0.06488618962340055,1,Compliant
LP002868,Male,Yes,2,Graduate,No,3159,461.0,108.0,84.0,1.0,Urban,1,687,1,1,54,3620.0,1285.7142857142858,0.3551696921862668,1,Compliant
LP001265,Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,1,649,0,0,41,3846.0,308.3333333333333,0.08016987346160513,1,Compliant
LP002738,Male,No,2,Graduate,No,3617,0.0,107.0,360.0,1.0,Semiurban,1,748,1,0,25,3617.0,297.22222222222223,0.08217368598900256,1,Compliant
LP002536,Male,Yes,3+,Not Graduate,No,3095,0.0,113.0,360.0,1.0,Rural,1,804,1,0,27,3095.0,313.8888888888889,0.10141805779931791,1,Compliant
LP002619,Male,Yes,0,Not Graduate,No,3814,1483.0,124.0,300.0,1.0,Semiurban,1,490,0,0,18,5297.0,413.3333333333333,0.078031590208294,1,Compliant
LP001516,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,1,428,1,0,20,14866.0,194.44444444444446,0.01307980925901012,1,Compliant
LP001578,Male,Yes,0,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,1,573,0,1,26,5772.0,358.3333333333333,0.062081312081312075,1,Compliant
LP001641,Male,Yes,1,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,0,480,1,0,49,2178.0,220.0,0.10101010101010101,0,Compliant
LP001398,Male,No,0,Graduate,,5050,0.0,118.0,360.0,1.0,Semiurban,1,655,1,1,45,5050.0,327.77777777777777,0.06490649064906491,1,Compliant
LP002936,Male,Yes,0,Graduate,No,3859,3300.0,142.0,180.0,1.0,Rural,1,551,0,1,39,7159.0,788.8888888888889,0.11019540283403952,1,Compliant
LP001693,Female,No,0,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban,1,606,0,0,61,3244.0,222.22222222222223,0.06850253459377997,1,Compliant
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1,714,1,1,51,4941.0,333.3333333333333,0.067462726843419,1,Compliant
LP002332,Male,Yes,0,Not Graduate,No,2253,2033.0,110.0,360.0,1.0,Rural,1,351,0,0,47,4286.0,305.55555555555554,0.07129154352672784,1,Compliant
LP001091,Male,Yes,1,Graduate,,4166,3369.0,201.0,360.0,0.0,Urban,0,714,0,0,48,7535.0,558.3333333333334,0.07409865074098651,1,Compliant
LP002255,Male,No,3+,Graduate,No,9167,0.0,185.0,360.0,1.0,Rural,1,414,0,0,46,9167.0,513.8888888888889,0.05605856756723998,1,Compliant
LP002409,Male,Yes,0,Graduate,No,7901,1833.0,180.0,360.0,1.0,Rural,1,756,0,1,54,9734.0,500.0,0.051366344770906104,1,Compliant
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,100.0,360.0,1.0,Rural,1,634,0,1,20,7101.0,277.77777777777777,0.03911812107840836,1,Compliant
LP002408,Male,No,0,Graduate,No,3660,5064.0,187.0,360.0,1.0,Semiurban,1,781,0,0,25,8724.0,519.4444444444445,0.05954200417749249,1,Compliant
LP002556,Male,No,0,Graduate,No,2435,0.0,75.0,360.0,1.0,Urban,0,796,1,1,36,2435.0,208.33333333333334,0.08555783709787818,1,Compliant
LP002067,Male,Yes,1,Graduate,Yes,8666,4983.0,376.0,360.0,0.0,Rural,0,508,0,1,55,13649.0,1044.4444444444443,0.07652168250014245,0,Compliant
LP002008,Male,Yes,2,Graduate,Yes,5746,0.0,144.0,84.0,0.0,Rural,1,763,1,1,41,5746.0,1714.2857142857142,0.2983441897469047,1,Compliant
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,0,811,1,0,36,4022.0,305.55555555555554,0.07597104812420576,1,Compliant
LP002119,Male,Yes,1,Not Graduate,No,4554,1229.0,158.0,360.0,1.0,Urban,1,573,0,1,36,5783.0,438.8888888888889,0.07589294291697889,1,Compliant
LP002144,Female,No,,Graduate,No,3813,0.0,116.0,180.0,1.0,Urban,1,748,1,0,56,3813.0,644.4444444444445,0.16901244281260017,1,Compliant
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,0,553,1,0,56,11750.0,805.5555555555555,0.06855791962174941,1,Compliant
LP002925,,No,0,Graduate,No,4750,0.0,94.0,360.0,1.0,Semiurban,1,681,0,0,51,4750.0,261.1111111111111,0.05497076023391812,1,Compliant
LP001854,Male,Yes,3+,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,0,478,0,1,26,5250.0,261.1111111111111,0.04973544973544973,1,Compliant
LP001776,Female,No,0,Graduate,No,8333,0.0,280.0,360.0,1.0,Semiurban,1,624,0,0,22,8333.0,777.7777777777778,0.09333706681600598,1,Compliant
LP002386,Male,No,0,Graduate,,12876,0.0,405.0,360.0,1.0,Semiurban,1,593,1,1,54,12876.0,1125.0,0.08737185461323392,1,Compliant
LP002281,Male,Yes,0,Graduate,No,3033,1459.0,95.0,360.0,1.0,Urban,1,438,1,0,49,4492.0,263.8888888888889,0.05874641337686752,1,Compliant
LP002683,Male,No,0,Graduate,No,4683,1915.0,185.0,360.0,1.0,Semiurban,0,465,1,0,38,6598.0,513.8888888888889,0.07788555454514837,1,Compliant
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,1,789,0,0,61,3875.0,269.44444444444446,0.06953405017921148,1,Compliant
LP002606,Female,No,0,Graduate,No,3159,0.0,100.0,360.0,1.0,Semiurban,1,364,0,0,38,3159.0,277.77777777777777,0.08793218669761879,1,Compliant
LP002990,Female,No,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban,0,780,0,1,40,4583.0,369.44444444444446,0.08061192329139089,0,Compliant
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,,1.0,Urban,1,325,1,1,22,4695.0,352.77777777777777,0.07513903680037866,1,Compliant
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0.0,130.0,360.0,1.0,Rural,1,554,0,0,39,5703.0,361.1111111111111,0.06331950045784869,1,Compliant
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,1,716,1,1,31,6816.0,244.44444444444446,0.035863328116849245,1,Compliant
LP001682,Male,Yes,3+,Not Graduate,No,3992,0.0,,180.0,1.0,Urban,0,742,1,1,37,3992.0,0.0,0.0,0,Flag: Rejected w/ Good Credit & Low EMI
LP002624,Male,Yes,0,Graduate,No,20833,6667.0,480.0,360.0,0.0,Urban,1,350,0,0,59,27500.0,1333.3333333333333,0.048484848484848485,1,Compliant
LP002342,Male,Yes,2,Graduate,Yes,1600,20000.0,239.0,360.0,1.0,Urban,0,322,1,1,40,21600.0,663.8888888888889,0.030735596707818932,1,Compliant
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1,681,0,0,32,9613.0,741.6666666666666,0.07715246714518534,1,Compliant
LP002926,Male,Yes,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,0,552,0,1,38,2726.0,294.44444444444446,0.10801336920192386,0,Compliant
LP002515,Male,Yes,1,Graduate,Yes,3450,2079.0,162.0,360.0,1.0,Semiurban,1,521,1,0,21,5529.0,450.0,0.08138903960933261,1,Compliant
LP001770,Male,No,0,Not Graduate,No,3189,2598.0,120.0,,1.0,Rural,1,358,0,0,56,5787.0,352.77777777777777,0.060960390146496936,1,Compliant
LP002784,Male,Yes,1,Not Graduate,No,2492,2375.0,,360.0,1.0,Rural,1,734,1,0,27,4867.0,0.0,0.0,1,Compliant
LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,0,771,0,1,57,4680.0,355.55555555555554,0.07597340930674264,0,Compliant
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,1,584,0,0,40,10750.0,866.6666666666666,0.08062015503875969,1,Compliant
LP001123,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,0.0,Urban,1,541,0,0,53,2400.0,208.33333333333334,0.08680555555555557,1,Compliant
LP001431,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,1,444,1,0,47,11117.0,380.55555555555554,0.03423185711572866,0,Compliant
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,1,574,1,1,48,3029.0,275.0,0.09078903928689336,1,Compliant
LP002556,Male,No,0,Graduate,No,2435,0.0,75.0,360.0,1.0,Urban,0,311,1,0,29,2435.0,208.33333333333334,0.08555783709787818,1,Compliant
LP001151,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,1,846,1,1,34,6275.0,400.0,0.06374501992031872,1,Compliant
LP002634,Female,No,1,Graduate,No,13262,0.0,40.0,360.0,1.0,Urban,1,512,0,1,22,13262.0,111.11111111111111,0.008378156470450242,1,Compliant
LP002493,Male,No,0,Graduate,No,4166,0.0,98.0,360.0,0.0,Semiurban,0,842,0,0,59,4166.0,272.22222222222223,0.06534378833946765,0,Compliant
LP001669,Female,No,0,Not Graduate,No,1907,2365.0,120.0,,1.0,Urban,1,469,1,1,56,4272.0,352.77777777777777,0.08257906783187682,1,Compliant
LP001907,Male,Yes,0,Graduate,No,14583,0.0,436.0,360.0,1.0,Semiurban,1,601,1,1,23,14583.0,1211.111111111111,0.0830495173223007,1,Compliant
LP001504,Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,1,637,0,1,41,6950.0,972.2222222222222,0.13988808952837728,1,Compliant
LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,173.0,360.0,1.0,Rural,0,406,0,0,45,4234.0,480.55555555555554,0.11349918647981945,0,Compliant
LP002068,Male,No,0,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,1,404,1,1,25,4917.0,361.1111111111111,0.07344134860913384,0,Compliant
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,1,593,0,0,61,5052.0,338.8888888888889,0.06708014427729393,1,Compliant
LP002178,Male,Yes,0,Graduate,No,3013,3033.0,95.0,300.0,0.0,Urban,1,566,1,1,59,6046.0,316.6666666666667,0.052376226706362335,1,Compliant
LP001487,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,1,625,1,0,47,4895.0,283.3333333333333,0.057882192713653385,1,Compliant
LP002142,Female,Yes,0,Graduate,Yes,5500,0.0,105.0,360.0,0.0,Rural,0,387,0,1,29,5500.0,291.6666666666667,0.05303030303030303,0,Compliant
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,1,828,0,0,54,2957.0,225.0,0.07609063239770038,1,Compliant
LP001387,Female,Yes,0,Graduate,,2929,2333.0,139.0,360.0,1.0,Semiurban,1,603,1,1,38,5262.0,386.1111111111111,0.07337725410701465,1,Compliant
LP001541,Male,Yes,1,Graduate,No,6000,0.0,160.0,360.0,0.0,Rural,1,346,1,1,49,6000.0,444.44444444444446,0.07407407407407407,1,Compliant
LP002931,Male,Yes,2,Graduate,Yes,6000,0.0,205.0,240.0,1.0,Semiurban,0,746,1,1,55,6000.0,854.1666666666666,0.1423611111111111,0,Compliant
LP001744,Male,No,0,Graduate,No,2971,2791.0,144.0,360.0,1.0,Semiurban,1,642,0,1,64,5762.0,400.0,0.06942034015966678,1,Compliant
LP002142,Female,Yes,0,Graduate,Yes,5500,0.0,105.0,360.0,0.0,Rural,0,535,1,1,31,5500.0,291.6666666666667,0.05303030303030303,0,Compliant
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,1,478,1,0,28,3620.0,208.33333333333334,0.05755064456721916,1,Compliant
LP001520,Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,1,680,0,1,46,5690.0,347.22222222222223,0.0610232376488967,1,Compliant
LP002502,Female,Yes,2,Not Graduate,,210,2917.0,98.0,360.0,1.0,Semiurban,1,534,0,0,31,3127.0,272.22222222222223,0.08705539565789007,1,Compliant
LP002530,,Yes,2,Graduate,No,2873,1872.0,132.0,360.0,0.0,Semiurban,0,820,0,1,62,4745.0,366.6666666666667,0.07727432384966632,0,Compliant
LP002243,Male,Yes,0,Not Graduate,No,3010,3136.0,,360.0,0.0,Urban,0,464,0,0,36,6146.0,0.0,0.0,0,Compliant
LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182.0,360.0,1.0,Semiurban,1,811,0,1,50,6486.0,505.55555555555554,0.07794566073937026,1,Compliant
LP002738,Male,No,2,Graduate,No,3617,0.0,107.0,360.0,1.0,Semiurban,1,363,0,1,20,3617.0,297.22222222222223,0.08217368598900256,1,Compliant
LP001387,Female,Yes,0,Graduate,,2929,2333.0,139.0,360.0,1.0,Semiurban,1,356,1,0,39,5262.0,386.1111111111111,0.07337725410701465,1,Compliant
LP002536,Male,Yes,3+,Not Graduate,No,3095,0.0,113.0,360.0,1.0,Rural,1,662,1,0,58,3095.0,313.8888888888889,0.10141805779931791,1,Compliant
LP002984,Male,Yes,2,Graduate,No,7583,0.0,187.0,360.0,1.0,Urban,1,578,0,0,62,7583.0,519.4444444444445,0.06850117953902736,1,Compliant
LP001528,Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,0,735,1,0,21,6277.0,327.77777777777777,0.05221885897367815,0,Compliant
LP001636,Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,1,321,0,0,58,4600.0,405.55555555555554,0.08816425120772947,1,Compliant
LP002223,Male,Yes,0,Graduate,No,4310,0.0,130.0,360.0,0.0,Semiurban,1,419,1,1,38,4310.0,361.1111111111111,0.08378448053622067,1,Compliant
LP002191,Male,Yes,0,Graduate,No,19730,5266.0,570.0,360.0,1.0,Rural,0,508,1,1,39,24996.0,1583.3333333333333,0.06334346828825946,1,Compliant
LP002112,Male,Yes,2,Graduate,Yes,2500,4600.0,176.0,360.0,1.0,Rural,1,519,1,1,40,7100.0,488.8888888888889,0.06885758998435056,1,Compliant
LP002114,Female,No,0,Graduate,No,4160,0.0,71.0,360.0,1.0,Semiurban,1,345,1,0,22,4160.0,197.22222222222223,0.04740918803418803,1,Compliant
LP001119,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,0,615,0,0,45,3600.0,222.22222222222223,0.0617283950617284,1,Compliant
LP002139,Male,Yes,0,Graduate,No,9083,0.0,228.0,360.0,1.0,Semiurban,1,535,1,1,31,9083.0,633.3333333333334,0.06972732944328233,1,Compliant
LP002266,Male,Yes,2,Graduate,No,3100,1400.0,113.0,360.0,1.0,Urban,1,504,0,0,56,4500.0,313.8888888888889,0.06975308641975309,1,Compliant
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,1,775,0,0,19,5614.0,438.8888888888889,0.07817757194315798,1,Compliant
LP001864,Male,Yes,3+,Not Graduate,No,4931,0.0,128.0,360.0,0.0,Semiurban,0,411,0,0,35,4931.0,355.55555555555554,0.07210617634466752,1,Compliant
LP002055,Female,No,0,Graduate,No,3166,2985.0,132.0,360.0,0.0,Rural,1,394,0,0,32,6151.0,366.6666666666667,0.0596109033761448,1,Compliant
LP002652,Male,No,0,Graduate,No,5815,3666.0,311.0,360.0,1.0,Rural,0,697,0,1,40,9481.0,863.8888888888889,0.09111790833128246,1,Compliant
LP002434,Male,Yes,2,Not Graduate,No,4652,0.0,110.0,360.0,1.0,Rural,1,530,1,1,59,4652.0,305.55555555555554,0.06568262157256138,1,Compliant
LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,0,434,0,1,42,14363.0,888.8888888888889,0.06188741132694346,0,Compliant
LP001993,Female,No,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,1,334,1,0,36,5428.0,375.0,0.06908621960206338,1,Compliant
LP002961,Male,Yes,1,Graduate,No,3400,2500.0,173.0,360.0,1.0,Semiurban,1,391,1,1,57,5900.0,480.55555555555554,0.08145009416195857,1,Compliant
LP001843,Male,Yes,1,Not Graduate,No,2661,7101.0,279.0,180.0,1.0,Semiurban,1,791,0,0,39,9762.0,1550.0,0.15877893874206106,1,Compliant
LP002789,Male,Yes,0,Graduate,No,3593,4266.0,132.0,180.0,0.0,Rural,0,322,1,1,54,7859.0,733.3333333333334,0.09331127794036562,0,Compliant
LP001807,Male,Yes,2,Graduate,Yes,6250,1300.0,108.0,360.0,1.0,Rural,1,799,1,1,39,7550.0,300.0,0.039735099337748346,1,Compliant
LP002618,Male,Yes,1,Not Graduate,No,4050,5302.0,138.0,360.0,0.0,Rural,0,817,1,1,39,9352.0,383.3333333333333,0.0409894496720844,1,Compliant
LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,45.0,360.0,1.0,Semiurban,1,482,0,1,18,3934.0,125.0,0.03177427554651754,1,Compliant
LP002717,Male,Yes,0,Graduate,No,1025,5500.0,216.0,360.0,0.0,Rural,1,410,1,0,61,6525.0,600.0,0.09195402298850575,1,Compliant
LP002978,Female,No,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,1,841,1,1,54,2900.0,197.22222222222223,0.06800766283524905,1,Compliant
LP002443,Male,Yes,2,Graduate,No,3340,1710.0,150.0,360.0,0.0,Rural,0,467,1,0,33,5050.0,416.6666666666667,0.08250825082508251,0,Compliant
LP001990,Male,No,0,Not Graduate,No,2000,0.0,,360.0,1.0,Urban,0,520,0,0,29,2000.0,0.0,0.0,0,Flag: Young Adult Rejected w/ Good Credit
LP002505,Male,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,0,347,1,0,30,6784.0,305.55555555555554,0.04504061844863731,1,Compliant
LP002435,Male,Yes,0,Graduate,,3539,1376.0,55.0,360.0,1.0,Rural,0,335,1,1,34,4915.0,152.77777777777777,0.031083983271165367,1,Compliant
LP002807,Male,Yes,2,Not Graduate,No,3675,242.0,108.0,360.0,1.0,Semiurban,1,583,0,0,64,3917.0,300.0,0.07658922644881287,1,Compliant
LP002161,Female,No,1,Graduate,No,4723,0.0,81.0,360.0,1.0,Semiurban,0,724,1,0,26,4723.0,225.0,0.047639212365022235,1,Compliant
LP002936,Male,Yes,0,Graduate,No,3859,3300.0,142.0,180.0,1.0,Rural,1,548,1,0,28,7159.0,788.8888888888889,0.11019540283403952,1,Compliant
LP002983,Male,Yes,1,Graduate,No,8072,240.0,253.0,360.0,1.0,Urban,1,635,0,1,53,8312.0,702.7777777777778,0.08454978077210994,1,Compliant
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0,766,0,1,35,5540.0,438.8888888888889,0.07922182109907742,0,Compliant
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,1,319,1,1,21,5450.0,427.77777777777777,0.07849133537206932,1,Compliant
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,0,839,0,0,36,11750.0,805.5555555555555,0.06855791962174941,1,Compliant
LP001213,Male,Yes,1,Graduate,No,4945,0.0,,360.0,0.0,Rural,0,826,1,1,28,4945.0,0.0,0.0,0,Compliant
LP002297,Male,No,0,Graduate,No,2500,20000.0,103.0,360.0,1.0,Semiurban,1,447,0,1,19,22500.0,286.1111111111111,0.012716049382716048,0,Flag: Young Adult Rejected w/ Good Credit
LP002357,Female,No,0,Not Graduate,No,2720,0.0,80.0,,0.0,Urban,0,302,1,1,43,2720.0,352.77777777777777,0.12969771241830066,0,Compliant
LP001770,Male,No,0,Not Graduate,No,3189,2598.0,120.0,,1.0,Rural,1,838,1,0,52,5787.0,352.77777777777777,0.060960390146496936,1,Compliant
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,0,766,1,1,59,4734.0,258.3333333333333,0.05456977890437966,0,Compliant
LP001750,Male,Yes,0,Graduate,No,6250,0.0,128.0,360.0,1.0,Semiurban,1,844,1,1,45,6250.0,355.55555555555554,0.056888888888888885,1,Compliant
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,1,314,1,1,32,6216.0,400.0,0.06435006435006435,1,Compliant
LP002562,Male,Yes,1,Not Graduate,No,5333,1131.0,186.0,360.0,0.0,Urban,1,601,0,0,54,6464.0,516.6666666666666,0.07992986798679867,1,Compliant
LP002778,Male,Yes,2,Graduate,Yes,6633,0.0,,360.0,0.0,Rural,0,676,0,1,53,6633.0,0.0,0.0,0,Compliant
