Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Predicted,Total_Income,EMI,Loan_Income_Percentage,Ethical_Audit_Flag
LP001698,Male,No,0,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,1,1,6506.0,152.77777777777777,0.02348259726064829,Compliant
LP002893,Male,No,0,Graduate,No,1836,33837.0,90.0,360.0,1.0,Urban,0,1,35673.0,250.0,0.007008101365178146,Compliant
LP002129,Male,Yes,0,Graduate,No,2499,2458.0,160.0,360.0,1.0,Semiurban,1,1,4957.0,444.44444444444446,0.089659964584314,Compliant
LP002051,Male,Yes,0,Graduate,No,2400,2167.0,115.0,360.0,1.0,Semiurban,1,1,4567.0,319.44444444444446,0.06994623263508747,Compliant
LP002619,Male,Yes,0,Not Graduate,No,3814,1483.0,124.0,300.0,1.0,Semiurban,1,1,5297.0,413.3333333333333,0.078031590208294,Compliant
LP002144,Female,No,,Graduate,No,3813,0.0,116.0,180.0,1.0,Urban,1,1,3813.0,644.4444444444445,0.16901244281260017,Compliant
LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,1,1,43897.0,333.3333333333333,0.0075935333470016925,Compliant
LP002943,Male,No,,Graduate,No,2987,0.0,88.0,360.0,0.0,Semiurban,0,0,2987.0,244.44444444444446,0.08183610460142098,Compliant
LP002622,Male,Yes,2,Graduate,No,3510,4416.0,243.0,360.0,1.0,Rural,1,1,7926.0,675.0,0.08516275548826646,Compliant
LP001891,Male,Yes,0,Graduate,No,11146,0.0,136.0,360.0,1.0,Urban,1,1,11146.0,377.77777777777777,0.033893574177083954,Compliant
LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,1,1,7945.0,583.3333333333334,0.07342143906020558,Compliant
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,100.0,360.0,1.0,Rural,1,1,7101.0,277.77777777777777,0.03911812107840836,Compliant
LP002036,Male,Yes,0,Graduate,No,2058,2134.0,88.0,360.0,,Urban,1,1,4192.0,244.44444444444446,0.058312128922815946,Compliant
LP002370,Male,No,0,Not Graduate,No,2717,0.0,60.0,180.0,1.0,Urban,1,1,2717.0,333.3333333333333,0.12268433321064899,Compliant
LP002194,Female,No,0,Graduate,Yes,15759,0.0,55.0,360.0,1.0,Semiurban,1,1,15759.0,152.77777777777777,0.00969463657451474,Compliant
LP002068,Male,No,0,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,1,0,4917.0,361.1111111111111,0.07344134860913384,Compliant
LP002741,Female,Yes,1,Graduate,No,4608,2845.0,140.0,180.0,1.0,Semiurban,1,1,7453.0,777.7777777777778,0.10435767848890082,Compliant
LP001883,Female,No,0,Graduate,,3418,0.0,135.0,360.0,1.0,Rural,0,1,3418.0,375.0,0.10971328262141604,Compliant
LP001282,Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,1,1,4618.0,288.8888888888889,0.062557143544584,Compliant
LP002533,Male,Yes,2,Graduate,No,2947,1603.0,,360.0,1.0,Urban,0,1,4550.0,,,Compliant
LP002587,Male,Yes,0,Not Graduate,No,2600,1700.0,107.0,360.0,1.0,Rural,1,1,4300.0,297.22222222222223,0.06912144702842378,Compliant
LP001722,Male,Yes,0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,0,0,1950.0,375.0,0.19230769230769232,Compliant
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,1,1,10330.0,500.0,0.0484027105517909,Compliant
LP002964,Male,Yes,2,Not Graduate,No,3987,1411.0,157.0,360.0,1.0,Rural,1,1,5398.0,436.1111111111111,0.08079123955374418,Compliant
LP002785,Male,Yes,1,Graduate,No,3333,3250.0,158.0,360.0,1.0,Urban,1,1,6583.0,438.8888888888889,0.06667004236501427,Compliant
LP001750,Male,Yes,0,Graduate,No,6250,0.0,128.0,360.0,1.0,Semiurban,1,1,6250.0,355.55555555555554,0.056888888888888885,Compliant
LP002547,Male,Yes,1,Graduate,No,18333,0.0,500.0,360.0,1.0,Urban,0,1,18333.0,1388.888888888889,0.07575895319308835,Compliant
LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,45.0,360.0,1.0,Semiurban,1,1,3934.0,125.0,0.03177427554651754,Compliant
LP001841,Male,No,0,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,1,1,4750.0,288.8888888888889,0.060818713450292404,Compliant
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,0,0,7400.0,600.0,0.08108108108108109,Compliant
LP001743,Male,Yes,2,Graduate,No,4009,1717.0,116.0,360.0,1.0,Semiurban,1,1,5726.0,322.22222222222223,0.05627352815616874,Compliant
LP002130,Male,Yes,,Not Graduate,No,3523,3230.0,152.0,360.0,0.0,Rural,0,0,6753.0,422.22222222222223,0.06252365203942281,Compliant
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,,Semiurban,1,1,5333.0,275.0,0.0515657228576786,Compliant
LP002637,Male,No,0,Not Graduate,No,3598,1287.0,100.0,360.0,1.0,Rural,0,1,4885.0,277.77777777777777,0.05686341407938132,Compliant
LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,0,1,2281.0,313.8888888888889,0.1376102099469044,Compliant
LP002743,Female,No,0,Graduate,No,2138,0.0,99.0,360.0,0.0,Semiurban,0,0,2138.0,275.0,0.12862488306828812,Compliant
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,1,1,2963.0,83.33333333333333,0.028124648441894474,Compliant
LP002868,Male,Yes,2,Graduate,No,3159,461.0,108.0,84.0,1.0,Urban,1,1,3620.0,1285.7142857142858,0.3551696921862668,Compliant
LP002560,Male,No,0,Not Graduate,No,2699,2785.0,96.0,360.0,,Semiurban,1,1,5484.0,266.6666666666667,0.04862630683199611,Compliant
LP002113,Female,No,3+,Not Graduate,No,1830,0.0,,360.0,0.0,Urban,0,0,1830.0,,,Compliant
LP001653,Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,1,1,4885.0,133.33333333333334,0.02729443875810304,Compliant
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,0,1,15500.0,888.8888888888889,0.05734767025089606,Compliant
LP002738,Male,No,2,Graduate,No,3617,0.0,107.0,360.0,1.0,Semiurban,1,1,3617.0,297.22222222222223,0.08217368598900256,Compliant
LP002024,,Yes,0,Graduate,No,2473,1843.0,159.0,360.0,1.0,Rural,0,1,4316.0,441.6666666666667,0.10233240654927403,Compliant
LP001644,,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,1,1,5970.0,466.6666666666667,0.07816862088218872,Compliant
LP002948,Male,Yes,2,Graduate,No,5780,0.0,192.0,360.0,1.0,Urban,1,1,5780.0,533.3333333333334,0.0922722029988466,Compliant
LP001949,Male,Yes,3+,Graduate,,4416,1250.0,110.0,360.0,1.0,Urban,1,1,5666.0,305.55555555555554,0.05392791308781425,Compliant
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,1,1,3620.0,208.33333333333334,0.05755064456721916,Compliant
LP002959,Female,Yes,1,Graduate,No,12000,0.0,496.0,360.0,1.0,Semiurban,1,1,12000.0,1377.7777777777778,0.11481481481481481,Compliant
LP001940,Male,Yes,2,Graduate,No,3153,1560.0,134.0,360.0,1.0,Urban,1,1,4713.0,372.22222222222223,0.07897776834759648,Compliant
LP002926,Male,Yes,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,0,0,2726.0,294.44444444444446,0.10801336920192386,Compliant
LP002519,Male,Yes,3+,Graduate,No,4691,0.0,100.0,360.0,1.0,Semiurban,1,1,4691.0,277.77777777777777,0.059215045358724745,Compliant
LP002978,Female,No,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,1,1,2900.0,197.22222222222223,0.06800766283524905,Compliant
LP002953,Male,Yes,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,1,1,5703.0,355.55555555555554,0.06234535429695871,Compliant
LP001658,Male,No,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,1,1,3858.0,211.11111111111111,0.054720350210241346,Compliant
LP001716,Male,Yes,0,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,1,1,6194.0,380.55555555555554,0.06143938578552721,Compliant
LP002740,Male,Yes,3+,Graduate,No,6417,0.0,157.0,180.0,1.0,Rural,1,1,6417.0,872.2222222222222,0.1359236749606081,Compliant
LP001572,Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,1,1,9323.0,416.6666666666667,0.04469233794558261,Compliant
LP001945,Female,No,,Graduate,No,5417,0.0,143.0,480.0,0.0,Urban,0,0,5417.0,297.9166666666667,0.05499661559288659,Compliant
LP001565,Male,Yes,1,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,0,0,4369.0,336.1111111111111,0.07693090206251112,Compliant
LP001664,Male,No,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,1,1,4191.0,333.3333333333333,0.07953551260637874,Compliant
LP002367,Female,No,1,Not Graduate,No,4606,0.0,81.0,360.0,1.0,Rural,0,1,4606.0,225.0,0.048849326964828486,Compliant
LP001896,Male,Yes,2,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,1,1,3900.0,250.0,0.0641025641025641,Compliant
LP002798,Male,Yes,0,Graduate,No,3887,2669.0,162.0,360.0,1.0,Semiurban,1,1,6556.0,450.0,0.06863941427699817,Compliant
LP001508,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,1,1,11757.0,1038.888888888889,0.08836343360456655,Compliant
LP001977,Male,Yes,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,1,1,3428.0,266.6666666666667,0.07779074290159471,Compliant
LP001666,Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,1,1,12083.0,519.4444444444445,0.04298969166965526,Compliant
LP002522,Female,No,0,Graduate,Yes,2500,0.0,93.0,360.0,,Urban,1,1,2500.0,258.3333333333333,0.10333333333333333,Compliant
LP001751,Male,Yes,0,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,0,0,3250.0,472.22222222222223,0.1452991452991453,Compliant
LP002408,Male,No,0,Graduate,No,3660,5064.0,187.0,360.0,1.0,Semiurban,1,1,8724.0,519.4444444444445,0.05954200417749249,Compliant
LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,0,0,3784.0,212.5,0.05615750528541226,Compliant
LP002990,Female,No,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban,0,0,4583.0,369.44444444444446,0.08061192329139089,Compliant
LP001639,Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,1,1,3625.0,300.0,0.08275862068965517,Compliant
LP001426,Male,Yes,,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,1,1,8334.0,500.0,0.059995200383969285,Compliant
LP002863,Male,Yes,3+,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban,0,1,6406.0,416.6666666666667,0.06504318867728172,Compliant
LP001579,Male,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,0,0,2237.0,131.25,0.058672329012069736,Compliant
LP002424,Male,Yes,0,Graduate,No,7333,8333.0,175.0,300.0,,Rural,1,1,15666.0,583.3333333333334,0.03723562704795949,Compliant
LP002211,Male,Yes,0,Graduate,No,4817,923.0,120.0,180.0,1.0,Urban,1,1,5740.0,666.6666666666666,0.11614401858304296,Compliant
LP002734,Male,Yes,0,Graduate,No,6133,3906.0,324.0,360.0,1.0,Urban,1,1,10039.0,900.0,0.08965036358203009,Compliant
LP002387,Male,Yes,0,Graduate,No,2425,2340.0,143.0,360.0,1.0,Semiurban,1,1,4765.0,397.22222222222223,0.08336248105398159,Compliant
LP001931,Female,No,0,Graduate,No,4124,0.0,115.0,360.0,1.0,Semiurban,1,1,4124.0,319.44444444444446,0.07745985558788662,Compliant
LP002300,Female,No,0,Not Graduate,No,1963,0.0,53.0,360.0,1.0,Semiurban,1,0,1963.0,147.22222222222223,0.07499858493235977,Flag: Female Rejected w/ Good Credit
LP001507,Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,1,1,4732.0,338.8888888888889,0.07161641777026392,Compliant
LP002237,Male,No,1,Graduate,,3667,0.0,113.0,180.0,1.0,Urban,1,1,3667.0,627.7777777777778,0.1711965578886768,Compliant
LP001574,Male,Yes,0,Graduate,No,3707,3166.0,182.0,,1.0,Rural,1,1,6873.0,,,Compliant
LP001610,Male,Yes,3+,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,0,0,16816.0,1375.0,0.081767364414843,Compliant
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1,1,3000.0,183.33333333333334,0.061111111111111116,Compliant
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,0,1,5566.0,375.0,0.06737333812432626,Compliant
LP002065,Male,Yes,3+,Graduate,No,15000,0.0,300.0,360.0,1.0,Rural,1,1,15000.0,833.3333333333334,0.05555555555555556,Compliant
LP001027,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,1,1,4340.0,302.77777777777777,0.06976446492575525,Compliant
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87.0,360.0,1.0,Rural,1,1,2936.12000084,241.66666666666666,0.0823081708504856,Compliant
LP002874,Male,No,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,1,1,5968.0,305.55555555555554,0.051198987190944296,Compliant
LP002341,Female,No,1,Graduate,No,2600,0.0,160.0,360.0,1.0,Urban,0,1,2600.0,444.44444444444446,0.17094017094017094,Compliant
LP001734,Female,Yes,2,Graduate,No,4283,2383.0,127.0,360.0,,Semiurban,1,1,6666.0,352.77777777777777,0.05292195886255292,Compliant
LP002140,Male,No,0,Graduate,No,8750,4167.0,308.0,360.0,1.0,Rural,0,1,12917.0,855.5555555555555,0.06623484985333712,Compliant
LP002086,Female,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,0,1,6784.0,305.55555555555554,0.04504061844863731,Compliant
LP002917,Female,No,0,Not Graduate,No,2165,0.0,70.0,360.0,1.0,Semiurban,1,1,2165.0,194.44444444444446,0.08981267641775725,Compliant
LP002178,Male,Yes,0,Graduate,No,3013,3033.0,95.0,300.0,,Urban,1,1,6046.0,316.6666666666667,0.052376226706362335,Compliant
LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,158.0,360.0,0.0,Urban,0,0,6479.0,438.8888888888889,0.06774022054157879,Compliant
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0,0,5540.0,438.8888888888889,0.07922182109907742,Compliant
LP001935,Male,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,1,1,9508.0,519.4444444444445,0.054632356378254573,Compliant
LP002205,Male,No,1,Graduate,No,3062,1987.0,111.0,180.0,0.0,Urban,0,0,5049.0,616.6666666666666,0.12213639664620056,Compliant
